id,xdeal,ydeal
10001,768.1430833500604,406.3692929340699
10003,286.48697714855825,616.7939312799568
10012,236.63811021355554,606.3607233289539
10014,224.24796535697158,584.9317453545474
10015,270.3954505780097,115.58857830840724
10018,436.0685331165332,631.7031211682817
10019,276.7106689779346,111.02070642599423
10021,235.05473899751962,602.9992455122833
10022,230.9643877253431,600.5714750625147
10023,767.6067373586089,401.88337262057655
10026,244.56967097719226,596.114337915339
10027,241.44033801843295,602.1634312520333
10037,304.21675082868944,351.5736361197653
10041,299.93266344252754,213.43424049536782
10045,258.6597005341174,614.3522512106115
10046,281.6345251863666,207.08714558981364
10049,352.09370730888816,625.162168907854
10051,230.36816455598432,580.6451239257377
10053,349.73391065558866,626.7761939099346
10056,252.1608651344514,613.1169354178038
10058,285.572633525741,117.99489674319497
10062,757.8744330010754,396.3302639950036
10070,463.2299285452296,704.4210831991278
10077,228.5429432415388,564.934375112412
10078,749.7407149749214,386.63003829219116
10080,766.0196327736166,401.6497073028537
10082,235.17936187769095,604.2303263998342
10083,336.14692321282973,189.95538402820102
10084,233.84313763748443,602.0201279386562
10085,302.9938179368991,147.23349137366853
10087,436.47909859494206,696.3398736038525
10090,310.3811365797798,204.73540605948986
10091,752.9343055761681,409.3952797063372
10092,769.74776003826,400.2994690083237
10094,229.8185579803521,581.1647975104112
10097,473.4619380219162,707.330288845015
10098,736.2794659585225,386.5365187627
10101,266.05781361764525,615.4420516275092
10107,259.89735161072895,119.29587494349704
10111,285.5889165043168,141.66391794907256
10115,281.0752765658204,119.6761249228282
10117,273.6469894879714,112.06340969890061
10121,281.6441668872143,328.3514167458201
10123,237.39597441057603,604.6121674634447
10126,765.0352518754776,519.2927873924157
10127,275.74151226203344,111.92315943396753
10134,224.96640460733582,593.230704957348
10135,762.2596757949663,393.66021289800756
10136,260.01916293058565,115.27745198570226
10143,226.08909428553687,586.5886983999446
10145,270.3951602992682,108.92834370146532
10146,375.3094850592351,651.3402203745738
10148,757.8819535259344,518.3876353095645
10150,282.94605529531987,131.94808145878702
10151,361.9949599409876,625.7465907930753
10152,259.9075316220914,630.3882900742735
10160,228.71862722137465,573.5102101083697
10162,266.4990657136092,107.12855228906838
10163,280.2852540805235,131.04847025569524
10164,160.62233691620855,130.79969481959608
10167,251.87212283976646,121.99625851154434
10170,345.65400460177,620.4459467297205
10172,227.5334468108991,589.2059547688928
10178,246.23094051683387,620.9923439644731
10181,268.5942436697444,615.844661785429
10182,274.3580218241018,115.03379201706564
10185,450.825330500612,625.5936237379755
10192,311.58800716035574,151.71218183686432
10194,253.0370628947874,605.1274562578114
10196,383.7281364464232,71.45153032477671
10201,240.13429982316086,594.9292844705863
10202,754.572207190037,392.9552748116591
10204,313.6059729146806,172.38023256894144
10205,294.15587656787136,146.4455151250355
10206,252.46434812754686,109.16679427074862
10214,270.0581271047254,106.83896095661399
10216,237.73861574565305,600.6337189653176
10221,419.74029621622014,631.9879408734423
10225,350.40253364947426,622.647119992842
10231,268.4334018646661,122.1700734708093
10232,290.0543335687181,212.03369295426776
10233,263.16142272710397,109.83749750266415
10235,748.5869113958363,391.57706158847327
10240,250.6454740894419,610.5370098729023
10243,236.03529954934385,606.9535058421056
10245,287.0668925882592,142.74514637318703
10246,445.12469101384664,282.81686765771406
10248,529.3054332993297,793.5325552252358
10249,282.9720341012761,136.80053993524933
10252,287.05311569209937,137.72039728042995
10255,766.4796793112268,522.9720031567601
10256,269.798127890208,609.2694549220664
10264,225.91544973107958,576.6480134739666
10265,272.9899424641926,125.81237920343348
10271,268.0530269378087,111.7647472693896
10272,283.22164704264276,124.26226346739085
10275,746.8356699281873,385.2497255554671
10280,310.9790524533816,152.24651885165292
10281,747.6203166275229,406.9514910384451
10282,233.82034477866637,603.3452083838937
10284,287.814217611545,205.3069447156439
10292,230.56875401175952,583.6074593813037
10293,235.59517208846813,605.9164036088939
10295,226.82772751612296,571.683355638381
10297,780.5027203047953,525.4613626769076
10298,280.47635889821225,609.2779898216164
10300,742.5307969207602,383.9362846508161
10309,519.5051435549921,301.93150198199965
10310,746.5025255516534,389.0830406648084
10317,264.1786279738121,121.60272653134346
10319,269.11473785571286,112.41906198335421
10324,285.2180103010446,120.36209998960317
10325,267.865198168255,620.7435168853475
10326,759.3010795854535,394.56299318340837
10329,280.4973567164019,123.02540492204128
10331,459.0971444249717,751.1608361594832
10334,265.0553667720405,111.5953079236134
10345,499.11750726951533,646.895513341872
10349,228.57494027763005,573.7493182343221
10362,238.18234339736762,605.617860710269
10367,241.46378329119895,600.823023910166
10373,227.03553386714293,577.7961454990273
10374,280.72442917873127,114.49880003049229
10375,226.52132840840517,575.2341977618662
10382,761.0836111126874,402.32479245911634
10383,252.91650028930206,609.4436728481749
10388,304.89217226686196,359.93753580705095
10394,228.24543562411586,569.3188757729971
10396,744.4816136380001,385.56984511892574
10401,313.69819341720284,153.8533672792069
10402,371.19322497766694,702.7927850185
10403,237.8347613162421,604.8380419420412
10404,251.31952509118034,613.5229907870249
10406,744.3650926975288,389.163806966437
10408,241.92839063321884,599.7958309531494
10409,282.9143525941845,327.8728503499287
10413,237.8157689414027,591.7858675254142
10415,264.9900302744055,106.79616255069327
10416,766.1813421385303,399.42879480650316
10418,307.7269025290036,345.40101188940633
10419,242.19729212253793,607.7109786918227
10420,225.45548546675374,587.5654583896949
10425,285.63335944572157,118.45567316801662
10426,279.00614262157967,618.7659096869479
10427,263.0164510300771,106.15262265146771
10430,269.3929725534921,632.8409325747265
10431,734.9261096207373,388.81804348805707
10435,469.804077796123,755.9496489185307
10437,770.2027512889856,399.5081724655645
10439,287.4223015788659,189.45349725874667
10440,750.6667711819094,389.87992495578607
10449,434.4692865953208,270.5451924775121
