id,xdeal,ydeal
17282,439.7273688,664.1632452
11988,457.8829886,202.3963106
10657,260.4317374,415.4867018
10656,284.7577088,362.7401478
10659,273.5117454,376.5878954
10652,476.593087,505.7956266
11986,292.122322,400.601084
17299,493.4975756,657.2535888
17295,506.7481924,237.3000276
17297,267.5546548,723.2791944
17291,319.775165,324.822342
17292,293.1317574,364.346714
17294,496.6964906,219.8126256
10668,175.6960334,227.2341084
10669,289.7622336,343.447136
11991,382.5307686,370.2753698
10660,455.4233784,202.7233108
10662,512.77637,631.3210512
10661,468.0199948,215.2204054
11994,356.313883,326.0592558
10666,313.9175962,293.0038008
11996,496.284186,635.614706
17269,519.7144612,620.82861
18594,520.8945054,586.6641978
18595,445.812416,184.0274298
18596,454.6698562,474.2187812
18590,518.0083732,618.7244348
17261,458.8071196,182.0512112
18592,278.3740962,376.7300694
11966,274.848181,420.5196614
10634,239.4610724,745.3872514
11967,293.2170618,378.8768968
10636,496.213099,608.2746458
10638,561.7979652,264.0571744
11969,293.8710622,362.1287996
11960,502.8099726,642.7660582
11962,264.1709136,317.0312068
10631,287.1320146,377.9101136
10630,435.078279,432.590234
10633,257.1333006,318.5809034
17273,226.935543,790.1151918
11977,401.8237804,368.967369
11979,390.6204692,379.0475056
10648,470.3089962,673.077555
11978,255.6120388,352.1055326
10649,462.4325566,208.7799232
10643,266.1186974,354.8068386
11974,534.5716442,269.445569
18575,469.2142564,187.5817798
17245,459.816555,681.1388208
18576,517.6387208,629.4727892
18578,300.8091534,378.8911142
18572,504.7577564,636.609924
17242,421.145227,168.7579422
18574,379.630419,373.4885022
10609,261.0999552,342.6225268
11946,439.912195,172.3975966
10615,340.5467864,282.9236642
11945,465.6599064,211.2537508
18579,503.4071034,651.4102374
17249,577.5792792,374.3131114
11941,207.670966,194.8184364
18586,492.0047486,637.1644026
18588,271.009483,379.3745058
17257,228.2577612,401.2693018
18589,478.8820884,603.1137296
17251,250.5932966,754.9982138
18583,497.7912304,223.7081932
18584,460.3994684,180.1745144
18580,398.1699086,381.2938548
18581,284.729274,347.356921
11955,425.0834468,450.6889842
11957,503.748321,527.0932918
10628,289.0940158,372.8202844
11958,470.8208226,193.240305
10629,268.308177,354.892143
10620,308.6287234,346.8166598
