id,xdeal,ydeal
17284,261.4096,301.11845
17286,246.5138,657.01472
17281,299.0396,316.82414
17282,439.2504,606.75965
11988,457.3838,97.16414
10657,260.1742,332.32586
10656,284.4704,274.11596
10659,273.2382,289.39802
10652,476.071,431.98874
11986,291.826,315.89843
17299,492.9548,599.13431
17295,506.1892,135.68309
17297,267.2884,671.99867
17291,319.445,232.27073
17292,292.8342,275.88893
17294,496.1498,116.38439
10668,175.5422,124.57457
10669,289.4688,252.82463
11991,382.1238,282.43166
10660,454.9272,97.52501
10662,512.21,570.51575
10661,467.5084,111.31652
11994,355.939,233.63576
10666,313.5946,197.15651
11996,495.738,575.25413
17269,519.1396,558.93653
18594,520.3182,521.23346
18595,445.328,76.89266
18596,454.1746,397.14125
18590,517.4356,556.61441
17261,458.3068,74.71175
18592,278.0946,289.55492
11966,274.573,337.88012
10634,239.2292,696.39662
11967,292.9194,291.92411
10636,495.667,545.08226
10638,561.1716,165.21167
11969,293.5726,273.44129
11960,502.2558,583.1462
11962,263.9088,223.67261
10631,286.8418,290.85719
10630,434.607,351.20093
10633,256.8798,225.38282
17273,226.719,745.75736
11977,401.3932,280.98818
11979,390.2036,292.11239
10648,469.7946,616.59728
11978,255.3604,262.37984
10649,461.9278,104.20895
10643,265.8542,265.36094
11974,533.9786,171.15818
18575,468.7012,80.81516
17245,459.315,625.49351
18576,517.0664,568.47605
18578,300.5022,291.9398
18572,504.2012,576.35243
17242,420.691,60.0416
18574,379.227,285.9776
10609,260.8416,251.91461
11946,439.435,64.05824
10615,340.1912,186.0323
11945,465.1512,106.93901
18579,502.8522,592.68572
17249,576.9336,286.88762
11941,207.478,88.80137
18586,491.4638,576.96434
18588,270.739,292.47326
17257,228.0396,316.63586
18589,478.3572,539.38679
17251,250.3478,707.00306
18583,497.2432,120.68345
18584,459.8972,72.64067
18580,397.7438,294.59141
18581,284.442,257.13938
11955,424.6244,371.1743
11957,503.193,455.49236
10628,288.8014,285.24017
11958,470.3058,87.05978
10629,268.041,265.45508
10620,308.3122,256.54316
17259,468.261,77.34767
11950,242.8502,314.67461
10621,257.3484,285.25586
11952,396.6504,376.72856
17222,269.2054,294.9209
18553,591.0768,285.71087
14196,273.1956,339.99827
17223,490.0296,604.81409
19887,449.5454,613.8986
18556,282.099,306.01373
19886,300.7436,179.42681
14197,539.119,173.10374
19882,545.6226,215.10587
11919,439.151,58.97468
11923,281.1334,297.47837
11926,563.8696,521.87675
11928,517.6912,566.16962
18557,221.8058,718.72349
17227,246.6558,297.50975
19888,376.0746,269.53448
17228,462.2118,89.44466
17233,647.0532,502.87616
18564,298.3722,324.66914
19895,443.9222,602.7587
17234,472.237,561.1802
17235,379.2838,269.51879
17236,524.777,232.14521
19897,281.4174,277.88156
18567,565.1902,517.53062
18562,451.8884,566.46773
10601,477.136,602.97836
10603,270.8668,294.74831
11934,311.8622,318.22055
10606,508.6032,577.87436
10608,483.1994,131.65076
11938,405.6674,279.51332
10607,582.6704,265.75319
17238,435.2318,347.38826
19899,500.2536,595.18043
17239,308.4542,196.19942
11930,443.0418,89.77415
19063,461.374,99.51764
19060,454.3734,603.91976
11107,398.1698,280.39196
12439,460.6498,88.56602
11100,463.7454,111.74015
13763,261.509,327.30506
12432,447.2592,362.84291
12436,361.3776,183.45914
12434,452.925,72.1229
13766,584.559,259.03787
13770,379.8518,246.67415
19078,306.5088,226.76354
19079,463.2058,77.50457
19076,271.7756,325.73606
19072,578.9784,292.36343
16807,442.3886,616.59728
12449,674.5586,320.19749
12443,473.9552,98.74883
11111,466.344,619.75097
12444,367.938,237.00911
13775,514.34,570.45299
16804,284.6408,313.54493
12447,242.1686,294.81107
16802,223.7654,305.96666
12445,483.4266,114.25055
11116,339.3392,234.84389
19049,578.2826,264.65489
19048,190.5374,512.50982
19045,287.0548,315.85136
13747,381.1582,256.90403
13741,265.7832,653.40602
12414,486.6074,593.32901
13746,293.1608,618.73112
13744,280.2956,314.94134
12413,380.2352,256.74713
19056,444.5754,613.82015
19051,384.5804,268.51463
19054,298.8124,599.95019
19053,563.1028,255.16244
12429,509.0718,173.68427
13758,453.4078,628.19219
13752,318.1528,284.0948
12420,306.4236,288.78611
12426,372.4394,508.74422
19027,479.6352,473.72414
19026,289.4262,692.91344
19023,497.513,576.07001
19022,367.8954,228.37961
10690,495.951,534.02081
13727,577.1466,283.1534
13728,490.626,535.19756
10693,473.1316,562.16867
10695,494.7298,440.08478
13724,485.372,604.43753
10698,436.098,81.47414
19034,286.7992,664.29488
19036,384.2964,275.38685
19031,564.5654,271.10348
12407,291.0734,283.40444
13738,458.9316,625.71317
12408,289.554,270.71123
12405,484.2502,137.26778
13736,510.2078,528.21551
12406,460.1812,80.09342
12403,461.6722,75.30797
13735,265.0448,314.40788
12404,395.2446,279.2309
12401,436.6944,393.79928
19005,504.1018,538.21004
19007,296.5404,287.17004
19006,512.5508,565.11839
13705,496.5616,518.94272
13709,483.8242,613.96136
10670,444.9446,631.48709
10673,464.7536,606.06929
10672,470.9022,599.49518
19009,284.0444,328.77992
13702,219.2356,288.62921
13700,490.271,604.35908
19012,250.8164,279.19952
19011,268.7652,269.28344
10680,278.4922,269.3462
19010,272.2158,297.2744
13714,269.106,256.27643
10683,411.8586,286.38554
10685,449.9998,81.38
19019,395.6706,282.38459
10687,504.1302,586.95887
11061,565.3606,224.6297
16752,462.6946,606.11636
15420,264.9454,279.32504
12396,315.8808,304.25645
16750,452.357,357.91625
11065,462.5952,622.62224
12394,272.1022,320.1818
12399,270.171,313.52924
11067,473.9552,604.02959
11066,486.4228,591.91691
11069,307.1762,325.28105
15423,505.962,471.41771
11068,241.8704,301.33811
12398,520.8294,167.76914
15429,408.5358,283.02788
16759,486.721,100.8356
15428,503.4912,563.89457
16758,443.5388,77.09663
16757,465.8612,101.35337
11070,489.3338,593.54867
14100,113.19,123.00557
11074,584.1756,257.56301
16763,481.538,558.52859
14101,440.784,66.88244
15431,316.2784,267.08684
16760,425.1072,73.39379
14104,491.4638,121.21691
15434,444.6038,77.06525
16765,312.274,331.98068
15439,528.2134,158.33945
16769,528.7956,173.54306
15438,565.0482,250.87907
15437,269.9438,194.09696
12373,489.1776,127.22618
12374,263.8804,693.98036
11040,458.96,608.18744
12372,295.7594,285.72656
15409,247.4226,316.43189
15408,493.3524,488.94344
16734,247.1954,278.49347
16733,545.6936,217.97714
11044,328.8596,392.76374
12375,260.9836,273.31577
16732,440.8976,86.27528
15401,400.811,292.77137
11046,443.7518,77.75561
16731,250.0922,317.31053
12376,481.4954,538.44539
15407,448.5372,90.35468
16738,458.7896,96.01877
16737,259.4358,309.81071
15405,302.5044,268.35773
11050,481.5238,536.60966
15410,511.2586,530.56901
16740,332.6368,226.29284
11051,498.862,595.0706
12383,468.4314,113.10518
11056,317.6274,292.94396
16743,241.1888,326.69315
12387,518.103,161.0852
11057,552.893,515.96162
16747,364.8992,246.67415
15416,575.3716,262.2857
16746,236.2046,226.44974
15415,520.5312,554.98265
13682,483.6538,591.21086
13683,463.4756,601.37798
13680,484.1224,115.77248
11021,370.1106,213.74084
16719,312.9982,271.11917
16717,554.9662,212.29736
12355,506.7004,144.90881
11023,427.7342,325.84589
13686,444.3624,603.2294
16711,444.3482,67.91798
13687,453.0244,425.4617
11025,272.23,298.96892
